what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1348549026305
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1348549028019
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1348549028121
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1348549030846
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1348549041982
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Terminate",1348549042096
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1348549042149
activated,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1348549044907
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1348549044953
closed,editor,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser.editor",1348549044953
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1348549067858
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1348549073432
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1348549084172
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348549102279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550274440
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1348550309759
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550314486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550512624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550562525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550759713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1348550766451
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348550773233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348552224472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348552228175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348552229678
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348552230033
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1348552230929
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1348552231002
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1348552231067
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1348552231074
